domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test06_10.graph,aot2,optimistic,10,10,0.5,100,78.40100,1.25769,27.29
ctp3,test06_10.graph,aot2,optimistic,50,10,0.5,100,70.39900,1.06281,99.97
ctp3,test06_10.graph,aot2,optimistic,100,10,0.5,100,68.19700,0.91492,182.08
ctp3,test06_10.graph,aot2,optimistic,500,10,0.5,100,69.73400,0.98264,486.82
ctp3,test06_10.graph,aot2,optimistic,1000,10,0.5,100,68.68400,0.91381,718.02
ctp3,test06_10.graph,aot2,optimistic,5000,10,0.5,100,68.16100,0.97074,2876.00
ctp3,test06_10.graph,aot-value2,optimistic,10,10,0.5,100,68.47800,0.92056,2.93
ctp3,test06_10.graph,aot-value2,optimistic,50,10,0.5,100,70.68100,1.24393,12.24
ctp3,test06_10.graph,aot-value2,optimistic,100,10,0.5,100,71.52900,1.10153,23.05
ctp3,test06_10.graph,aot-value2,optimistic,500,10,0.5,100,69.84300,1.05395,95.18
ctp3,test06_10.graph,aot-value2,optimistic,1000,10,0.5,100,66.58600,0.94972,203.64
ctp3,test06_10.graph,aot-value2,optimistic,5000,10,0.5,100,68.18800,0.96988,1652.98
ctp3,test07_10.graph,uct2,optimistic,100,10,0,NA,123.49500,1.66089,22.51
ctp3,test07_10.graph,uct2,optimistic,500,10,0,NA,103.17000,1.31374,110.21
ctp3,test07_10.graph,uct2,optimistic,1000,10,0,NA,99.70600,1.18854,218.13
ctp3,test07_10.graph,uct2,optimistic,5000,10,0,NA,86.89300,1.06026,1044.63
ctp3,test07_10.graph,uct2,optimistic,10000,10,0,NA,86.57100,1.02531,2089.21
ctp3,test07_10.graph,aot2,optimistic,10,10,0.5,100,99.39900,1.40339,24.98
ctp3,test07_10.graph,aot2,optimistic,50,10,0.5,100,83.42400,1.04647,102.61
ctp3,test07_10.graph,aot2,optimistic,100,10,0.5,100,80.36000,0.95320,186.69
ctp3,test07_10.graph,aot2,optimistic,500,10,0.5,100,76.78800,0.90718,505.34
ctp3,test07_10.graph,aot2,optimistic,1000,10,0.5,100,75.07800,0.86873,756.63
ctp3,test07_10.graph,aot2,optimistic,5000,10,0.5,100,74.81000,0.84227,2860.19
ctp3,test07_10.graph,aot-value2,optimistic,10,10,0.5,100,79.23200,0.97613,2.70
ctp3,test07_10.graph,aot-value2,optimistic,50,10,0.5,100,82.87500,1.06445,12.08
ctp3,test07_10.graph,aot-value2,optimistic,100,10,0.5,100,80.87100,0.95202,22.00
ctp3,test07_10.graph,aot-value2,optimistic,500,10,0.5,100,78.20900,0.85351,100.50
ctp3,test07_10.graph,aot-value2,optimistic,1000,10,0.5,100,74.07000,0.80201,200.66
ctp3,test07_10.graph,aot-value2,optimistic,5000,10,0.5,100,75.63500,0.85965,1945.39
ctp3,test08_10.graph,uct2,optimistic,100,10,0,NA,81.63700,2.28996,9.28
ctp3,test08_10.graph,uct2,optimistic,500,10,0,NA,76.32200,1.89798,43.69
ctp3,test08_10.graph,uct2,optimistic,1000,10,0,NA,70.64500,1.74925,80.64
ctp3,test08_10.graph,uct2,optimistic,5000,10,0,NA,68.71800,1.60513,378.09
ctp3,test08_10.graph,uct2,optimistic,10000,10,0,NA,67.11300,1.55092,720.06
ctp3,test08_10.graph,aot2,optimistic,10,10,0.5,100,81.16800,2.23917,11.77
