domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test04_20_T.graph,ao3,optimistic,100,20,0.1,500,177.11000,5.48497,4133.45
ctp3,test04_20_T.graph,ao3,optimistic,500,20,0.1,500,156.69299,4.73715,20204.00
ctp3,test04_20_T.graph,ao3,optimistic,1000,20,0.1,500,149.65500,4.41048,38598.44
ctp3,test04_20_T.graph,ao3,random,100,20,0.5,50,145.29201,4.48828,3855.84
ctp3,test04_20_T.graph,ao3,random,500,20,0.5,50,129.84399,3.47510,14470.63
ctp3,test04_20_T.graph,ao3,random,1000,20,0.5,50,127.41500,3.55053,20773.29
ctp3,test04_20_T.graph,ao3,random,5000,20,0.5,50,127.73800,3.66117,54401.55
ctp3,test04_20_T.graph,ao3,optimistic,100,20,0.5,50,170.75600,5.49669,4067.31
ctp3,test04_20_T.graph,ao3,optimistic,500,20,0.5,50,147.39900,4.36345,17059.35
ctp3,test04_20_T.graph,ao3,optimistic,1000,20,0.5,50,144.51900,4.05998,28805.82
ctp3,test04_20_T.graph,ao3,optimistic,5000,20,0.5,50,143.71100,4.08833,81705.12
ctp3,test04_20_T.graph,ao3,random,100,20,0.5,100,143.05000,4.69851,3937.42
ctp3,test04_20_T.graph,ao3,random,500,20,0.5,100,126.15200,3.65070,16715.83
ctp3,test04_20_T.graph,ao3,random,1000,20,0.5,100,131.30800,3.70039,26959.40
ctp3,test04_20_T.graph,ao3,random,5000,20,0.5,100,119.47800,3.23747,61286.88
ctp3,test04_20_T.graph,ao3,optimistic,100,20,0.5,100,175.40900,5.55794,4182.13
ctp3,test04_20_T.graph,ao3,optimistic,500,20,0.5,100,150.20300,4.26138,19014.92
ctp3,test04_20_T.graph,ao3,optimistic,1000,20,0.5,100,136.17400,3.78924,32715.73
ctp3,test04_20_T.graph,ao3,optimistic,5000,20,0.5,100,143.63200,3.88846,97011.96
ctp3,test04_20_T.graph,ao3,random,100,20,0.9,500,144.88300,4.76771,3863.19
ctp3,test04_20_T.graph,ao3,random,500,20,0.9,500,129.87300,3.90771,18793.55
ctp3,test04_20_T.graph,ao3,random,1000,20,0.9,500,124.17100,3.33446,36465.83
ctp3,test04_20_T.graph,ao3,optimistic,100,20,0.9,500,191.40300,6.08307,4291.52
ctp3,test04_20_T.graph,ao3,optimistic,500,20,0.9,500,171.23399,5.35690,20214.50
ctp3,test04_20_T.graph,ao3,optimistic,1000,20,0.9,500,150.14900,4.67764,39055.66
ctp3,test05_20_T.graph,ao3,random,100,20,0.5,500,170.98199,2.97461,3607.77
ctp3,test05_20_T.graph,ao3,random,500,20,0.5,500,165.70100,2.66738,16436.76
ctp3,test05_20_T.graph,ao3,random,1000,20,0.5,500,160.81799,2.52334,29767.17
ctp3,test05_20_T.graph,ao3,random,5000,20,0.5,500,162.02699,2.66553,89699.80
ctp3,test05_20_T.graph,ao3,random,10000,20,0.5,500,160.12300,2.60085,120901.67
ctp3,test05_20_T.graph,ao3,optimistic,100,20,0.5,500,149.84300,2.57846,3124.10
ctp3,test05_20_T.graph,ao3,optimistic,500,20,0.5,500,144.62199,2.16507,14502.33
ctp3,test05_20_T.graph,ao3,optimistic,1000,20,0.5,500,144.49001,2.54803,26372.51
ctp3,test05_20_T.graph,ao3,optimistic,5000,20,0.5,500,142.80701,2.02654,90941.55
ctp3,test05_20_T.graph,ao3,optimistic,10000,20,0.5,500,138.49699,1.83258,150754.75
ctp3,test05_20_T.graph,ao3,random,100,20,0.1,500,169.48500,3.15890,3597.04
ctp3,test05_20_T.graph,ao3,random,500,20,0.1,500,160.81799,2.68216,16431.87
ctp3,test05_20_T.graph,ao3,random,1000,20,0.1,500,160.75500,2.51295,29999.33
ctp3,test05_20_T.graph,ao3,optimistic,100,20,0.1,500,149.32201,2.28326,3211.37
ctp3,test05_20_T.graph,ao3,optimistic,500,20,0.1,500,145.72600,2.23192,14640.57
ctp3,test05_20_T.graph,ao3,optimistic,1000,20,0.1,500,145.45000,2.30228,26271.81
ctp3,test05_20_T.graph,ao3,random,100,20,0.5,50,174.89500,3.15126,3431.83
ctp3,test05_20_T.graph,ao3,random,500,20,0.5,50,174.03000,3.15059,11383.83
ctp3,test05_20_T.graph,ao3,random,1000,20,0.5,50,167.22000,2.99178,16224.10
ctp3,test05_20_T.graph,ao3,random,5000,20,0.5,50,165.71500,2.84701,42708.58
ctp3,test05_20_T.graph,ao3,optimistic,100,20,0.5,50,150.54300,2.53582,3022.28
ctp3,test05_20_T.graph,ao3,optimistic,500,20,0.5,50,150.51100,2.27464,10498.69
ctp3,test05_20_T.graph,ao3,optimistic,1000,20,0.5,50,143.09000,1.95877,17546.01
ctp3,test05_20_T.graph,ao3,optimistic,5000,20,0.5,50,142.50000,1.81934,61808.73
ctp3,test05_20_T.graph,ao3,random,100,20,0.5,100,171.92700,3.17433,3596.98
ctp3,test05_20_T.graph,ao3,random,500,20,0.5,100,164.17599,2.88711,13390.88
ctp3,test05_20_T.graph,ao3,random,1000,20,0.5,100,162.73300,2.66681,20890.31
ctp3,test05_20_T.graph,ao3,random,5000,20,0.5,100,163.58299,2.70723,48173.83
ctp3,test05_20_T.graph,ao3,optimistic,100,20,0.5,100,152.70100,2.53145,3169.45
ctp3,test05_20_T.graph,ao3,optimistic,500,20,0.5,100,145.37900,2.01764,12122.67
ctp3,test05_20_T.graph,ao3,optimistic,1000,20,0.5,100,145.10100,1.96352,20253.90
ctp3,test05_20_T.graph,ao3,optimistic,5000,20,0.5,100,142.83299,1.77014,66189.25
ctp3,test05_20_T.graph,ao3,random,100,20,0.9,500,173.64301,3.15758,3548.60
ctp3,test05_20_T.graph,ao3,random,500,20,0.9,500,161.36099,2.74633,15766.81
ctp3,test05_20_T.graph,ao3,random,1000,20,0.9,500,160.82899,2.67921,28660.58
ctp3,test05_20_T.graph,ao3,optimistic,100,20,0.9,500,155.15800,2.52670,3127.36
ctp3,test05_20_T.graph,ao3,optimistic,500,20,0.9,500,145.88600,2.23824,14299.84
ctp3,test05_20_T.graph,ao3,optimistic,1000,20,0.9,500,141.06400,1.89765,25789.16
ctp3,test06_20_T.graph,ao3,random,100,20,0.5,500,185.96899,3.55779,5734.85
ctp3,test06_20_T.graph,ao3,random,500,20,0.5,500,159.83400,2.69301,26170.93
ctp3,test06_20_T.graph,ao3,random,1000,20,0.5,500,164.31000,2.73398,50239.98
ctp3,test06_20_T.graph,ao3,random,5000,20,0.5,500,153.46600,2.32687,156527.75
ctp3,test06_20_T.graph,ao3,random,10000,20,0.5,500,165.48000,2.89760,202563.78
ctp3,test06_20_T.graph,ao3,optimistic,100,20,0.5,500,165.76300,3.15254,4418.34
ctp3,test06_20_T.graph,ao3,optimistic,500,20,0.5,500,154.50301,2.69796,19870.62
ctp3,test06_20_T.graph,ao3,optimistic,1000,20,0.5,500,153.65601,2.56711,38721.16
ctp3,test06_20_T.graph,ao3,optimistic,5000,20,0.5,500,145.40100,2.28343,139772.75
ctp3,test06_20_T.graph,ao3,optimistic,10000,20,0.5,500,150.73300,2.23069,205680.25
ctp3,test06_20_T.graph,ao3,random,100,20,0.1,500,186.37000,3.54037,5851.24
ctp3,test06_20_T.graph,ao3,random,500,20,0.1,500,162.88400,2.91584,26909.87
ctp3,test06_20_T.graph,ao3,random,1000,20,0.1,500,160.46400,2.55935,51504.14
ctp3,test06_20_T.graph,ao3,optimistic,100,20,0.1,500,161.65700,3.14824,4448.29
ctp3,test06_20_T.graph,ao3,optimistic,500,20,0.1,500,158.22301,2.68172,20241.84
ctp3,test06_20_T.graph,ao3,optimistic,1000,20,0.1,500,156.03999,2.57644,39146.65
ctp3,test06_20_T.graph,ao3,random,100,20,0.5,50,176.77200,3.19003,5718.78
ctp3,test06_20_T.graph,ao3,random,500,20,0.5,50,173.17700,3.06240,20201.32
ctp3,test06_20_T.graph,ao3,random,1000,20,0.5,50,174.75999,3.07498,28097.34
ctp3,test06_20_T.graph,ao3,random,5000,20,0.5,50,177.06300,3.11457,60406.18
ctp3,test06_20_T.graph,ao3,optimistic,100,20,0.5,50,164.69299,2.95840,4250.85
ctp3,test06_20_T.graph,ao3,optimistic,500,20,0.5,50,157.44501,2.56735,16321.04
ctp3,test06_20_T.graph,ao3,optimistic,1000,20,0.5,50,156.13901,2.49678,26224.77
ctp3,test06_20_T.graph,ao3,optimistic,5000,20,0.5,50,154.31900,2.40073,74714.98
ctp3,test06_20_T.graph,ao3,random,100,20,0.5,100,185.50700,3.42633,5819.94
ctp3,test06_20_T.graph,ao3,random,500,20,0.5,100,170.23599,2.92866,24094.58
ctp3,test06_20_T.graph,ao3,random,1000,20,0.5,100,173.26199,3.00432,36946.25
ctp3,test06_20_T.graph,ao3,random,5000,20,0.5,100,167.53900,2.85199,73327.14
ctp3,test06_20_T.graph,ao3,optimistic,100,20,0.5,100,162.72099,3.13353,4431.32
ctp3,test06_20_T.graph,ao3,optimistic,500,20,0.5,100,159.84700,2.55919,18642.49
ctp3,test06_20_T.graph,ao3,optimistic,1000,20,0.5,100,154.76300,2.53480,31069.95
ctp3,test06_20_T.graph,ao3,optimistic,5000,20,0.5,100,156.37300,2.39268,84437.28
ctp3,test06_20_T.graph,ao3,random,100,20,0.9,500,184.18700,3.27241,5550.22
ctp3,test06_20_T.graph,ao3,random,500,20,0.9,500,169.85400,3.08459,26242.92
ctp3,test06_20_T.graph,ao3,random,1000,20,0.9,500,165.74001,2.88389,49469.42
ctp3,test06_20_T.graph,ao3,optimistic,100,20,0.9,500,173.19901,3.75532,4398.35
ctp3,test06_20_T.graph,ao3,optimistic,500,20,0.9,500,158.07300,2.65249,19853.60
ctp3,test06_20_T.graph,ao3,optimistic,1000,20,0.9,500,159.12700,2.58504,39088.56
ctp3,test07_20_T.graph,ao3,random,100,20,0.5,500,190.24500,4.04698,4316.79
ctp3,test07_20_T.graph,ao3,random,500,20,0.5,500,158.72800,3.43506,20185.86
ctp3,test07_20_T.graph,ao3,random,1000,20,0.5,500,154.52699,3.04788,36465.33
ctp3,test07_20_T.graph,ao3,random,5000,20,0.5,500,145.61501,2.84133,106199.73
ctp3,test07_20_T.graph,ao3,random,10000,20,0.5,500,148.68500,2.95603,140170.08
