
exp = #expansions per recomputation of deltas

--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test07_20_T  aot        optimistic    100   50  192.03       4.03        4175.49
test07_20_T  aot        optimistic    100  100  185.34       4.02        4406.52
test07_20_T  aot        optimistic    100  500  183.97       3.82        4470.77
test07_20_T  aot        optimistic    500   50  163.98       3.20       14159.11
test07_20_T  aot        optimistic    500  100  165.43       3.17       16566.95
test07_20_T  aot        optimistic    500  500  174.67       3.39       20689.87
test07_20_T  aot        optimistic   1000   50  160.55       3.08       23145.90
test07_20_T  aot        optimistic   1000  100  165.93       3.31       27823.63
test07_20_T  aot        optimistic   1000  500  169.85       3.35       37925.12
test07_20_T  aot        optimistic   5000   50  157.89       2.95       69626.34
test07_20_T  aot        optimistic   5000  100  159.66       2.81       78671.52
test07_20_T  aot        optimistic   5000  500  153.51       2.81      126212.38
test07_20_T  aot        optimistic  10000  500  148.40       2.86      192229.33
test07_20_T  aot        random        100   50  176.42       3.78        4037.04
test07_20_T  aot        random        100  100  193.60       4.13        4372.81
test07_20_T  aot        random        100  500  190.24       4.04        4316.79
test07_20_T  aot        random        500   50  160.06       3.36       12478.83
test07_20_T  aot        random        500  100  156.52       3.23       15641.59
test07_20_T  aot        random        500  500  158.72       3.43       20185.86
test07_20_T  aot        random       1000   50  162.60       3.44       17664.81
test07_20_T  aot        random       1000  100  156.31       3.08       24003.20
test07_20_T  aot        random       1000  500  154.52       3.04       36465.33
test07_20_T  aot        random       5000   50  165.56       3.49       42486.73
test07_20_T  aot        random       5000  100  160.93       3.17       50652.40
test07_20_T  aot        random       5000  500  145.61       2.84      106199.73
test07_20_T  aot        random      10000  500  148.68       2.95      140170.08
test07_20_T  uct        optimistic    100   NA  291.28       5.55          96.06
test07_20_T  uct        optimistic    500   NA  231.10       4.63         447.91
test07_20_T  uct        optimistic   1000   NA  202.69       4.16         851.81
test07_20_T  uct        optimistic   5000   NA  160.13       3.34        3774.82
test07_20_T  uct        optimistic  10000   NA  156.16       3.37        7347.51
test07_20_T  uct        random        100   NA  316.91       6.13          96.79
test07_20_T  uct        random        500   NA  251.54       5.17         443.04
test07_20_T  uct        random       1000   NA  241.20       5.00         874.89
test07_20_T  uct        random       5000   NA  209.98       4.51        3949.28
test07_20_T  uct        random      10000   NA  200.07       4.52        7526.72
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test08_20_T  aot        optimistic    100   50  239.03       4.24        5156.74
test08_20_T  aot        optimistic    100  100  247.62       4.64        5193.20
test08_20_T  aot        optimistic    100  500  246.30       4.54        5245.70
test08_20_T  aot        optimistic    500   50  210.82       3.22       19824.33
test08_20_T  aot        optimistic    500  100  219.03       3.51       23443.12
test08_20_T  aot        optimistic    500  500  221.80       3.76       23926.19
test08_20_T  aot        optimistic   1000   50  211.65       3.24       30980.43
test08_20_T  aot        optimistic   1000  100  211.57       3.07       37464.50
test08_20_T  aot        optimistic   1000  500  210.79       3.43       46520.81
test08_20_T  aot        optimistic   5000   50  198.82       2.73       89542.02
test08_20_T  aot        optimistic   5000  100  202.90       2.64      102545.59
test08_20_T  aot        optimistic   5000  500  193.33       2.72      164764.03
test08_20_T  aot        optimistic  10000  500  191.20       2.53      252778.39
test08_20_T  aot        random        100   50  218.92       3.38        5516.24
test08_20_T  aot        random        100  100  238.51       3.72        5548.73
test08_20_T  aot        random        100  500  236.22       3.64        5585.08
test08_20_T  aot        random        500   50  210.84       2.84       19322.71
test08_20_T  aot        random        500  100  209.37       2.90       23506.74
test08_20_T  aot        random        500  500  207.28       2.96       25871.15
test08_20_T  aot        random       1000   50  211.30       2.84       26079.79
test08_20_T  aot        random       1000  100  211.54       2.86       35855.50
test08_20_T  aot        random       1000  500  204.11       2.89       49785.20
test08_20_T  aot        random       5000   50  212.50       2.88       57814.21
test08_20_T  aot        random       5000  100  204.25       2.55       69836.72
test08_20_T  aot        random       5000  500  198.63       2.40      149691.38
test08_20_T  aot        random      10000  500  199.76       2.48      189884.39
test08_20_T  uct        optimistic    100   NA  349.47       5.69         112.82
