---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
test09_10  aot         random       1000   76.07       1.43          520.12
test09_10  aot         random       5000   74.40       1.35         1696.19
test09_10  aot-random  optimistic     10  116.62       2.74            6.88
test09_10  aot-random  optimistic     50  116.42       2.63            9.69
test09_10  aot-random  optimistic    100  113.37       2.44           13.57
test09_10  aot-random  optimistic    500  111.46       2.34           63.84
test09_10  aot-random  optimistic   1000  115.00       2.31          182.97
test09_10  aot-random  optimistic   5000  104.00       2.04         5593.11
test09_10  aot-random  random         10  117.97       2.63            7.05
test09_10  aot-random  random         50  111.85       2.47            9.97
test09_10  aot-random  random        100  114.41       2.48           13.99
test09_10  aot-random  random        500  113.11       2.41           64.60
test09_10  aot-random  random       1000  110.63       2.36          182.88
test09_10  aot-random  random       5000  105.00       2.15         3936.13
test09_10  aot-value   optimistic     10   82.56       1.54            2.08
test09_10  aot-value   optimistic     50   86.19       1.73           10.10
test09_10  aot-value   optimistic    100   84.41       1.76           19.59
test09_10  aot-value   optimistic    500   88.24       1.64           77.40
test09_10  aot-value   optimistic   1000   86.42       1.53          132.02
test09_10  aot-value   optimistic   5000   82.09       1.43         1009.28
test09_10  uct         optimistic     10  113.49       2.68            1.45
test09_10  uct         optimistic     50  113.81       2.46            7.09
test09_10  uct         optimistic    100  108.51       2.33           14.09
test09_10  uct         optimistic    500   90.78       1.81           64.48
test09_10  uct         optimistic   1000   85.70       1.67          123.77
test09_10  uct         optimistic   5000   80.87       1.57          574.43
test09_10  uct         optimistic  10000   75.21       1.46         1089.68
test09_10  uct         random         10  117.17       2.61            1.55
test09_10  uct         random         50  107.62       2.36            7.16
test09_10  uct         random        100  101.73       2.20           13.83
test09_10  uct         random        500   86.66       1.91           61.44
test09_10  uct         random       1000   83.68       1.69          119.48
test09_10  uct         random       5000   80.00       1.65          554.06
test09_10  uct         random      10000   79.59       1.60         1063.20
---------------------------------------------------------------------------


test00_10  aot123456789optimistic1234500  102.26       1.90          384.15
test00_10  aot123456789random12345678500  103.19       1.95          435.55

test00_10  aot         optimistic    500  102.26       1.90          384.15
test01_10  aot         optimistic    500   99.13       1.10          319.93
test02_10  aot         optimistic    500  116.55       1.53          588.52
test03_10  aot         optimistic    500   52.56       1.37          545.12
test04_10  aot         optimistic    500   94.42       1.30          537.71
test05_10  aot         optimistic    500   96.08       1.39          533.92
test06_10  aot         optimistic    500   69.03       0.93          492.46
test07_10  aot         optimistic    500   76.14       0.91          523.36
test08_10  aot         optimistic    500   66.79       1.47          263.37
test09_10  aot         optimistic    500   82.75       1.43          401.37

test00_10  aot         random        500  103.19       1.95          435.55
test01_10  aot         random        500   98.36       1.01          336.01
test02_10  aot         random        500  125.39       1.68          659.63
test03_10  aot         random        500   54.45       1.42          656.08
test04_10  aot         random        500   90.08       1.22          584.82
test05_10  aot         random        500  102.93       1.55          617.61
test06_10  aot         random        500   69.93       1.06          584.82
test07_10  aot         random        500   78.36       0.91          584.53
test08_10  aot         random        500   66.78       1.44          325.70
test09_10  aot         random        500   74.56       1.33          392.22

test00_10  uct123456789optimistic1210000  106.10       1.94         1452.33
test00_10  uct123456789random12345610000  108.47       1.96         1442.66

test00_10  uct         optimistic  10000  106.10       1.94         1452.33
test01_10  uct         optimistic  10000   97.94       1.06         1176.73
test02_10  uct         optimistic  10000  118.75       1.57         1601.90
test03_10  uct         optimistic  10000   53.66       1.41         1041.98
test04_10  uct         optimistic  10000   89.33       1.20         1469.74
test05_10  uct         optimistic  10000  105.43       1.74         1952.97
test06_10  uct         optimistic  10000   74.57       0.99         1510.07
test07_10  uct         optimistic  10000   81.82       0.94         2039.83
test08_10  uct         optimistic  10000   68.18       1.57          709.94
test09_10  uct         optimistic  10000   75.21       1.46         1089.68

test00_10  uct         random      10000  108.47       1.96         1442.66
test01_10  uct         random      10000  101.13       1.12         1176.30
test02_10  uct         random      10000  127.15       1.68         1524.76
test03_10  uct         random      10000   55.96       1.48          971.73
test04_10  uct         random      10000   91.31       1.30         1447.67
test05_10  uct         random      10000  121.49       1.84         2029.13
test06_10  uct         random      10000   83.99       1.47         1523.22
test07_10  uct         random      10000  107.14       1.20         2157.14
test08_10  uct         random      10000   71.59       1.72          736.34
test09_10  uct         random      10000   79.59       1.60         1063.20


